year,max_results_score,event,event_name,event_type,competitor,nat,mark,date,venue,gender,environment,age,age_category
1935,1166.0,Men's Long Jump,long-jump,jumps,Jesse OWENS,USA,8.13,1935-05-25,"Ann Arbor, MI (USA)",men,outdoor,22.0,senior
1936,1151.0,Men's Long Jump,long-jump,jumps,Jesse OWENS,USA,8.06,1936-08-04,"Olympiastadion, Berlin (GER)",men,outdoor,23.0,senior
1947,1153.0,Men's Long Jump,long-jump,jumps,Willie STEELE,USA,8.07,1947-06-21,"Salt Lake City, UT (USA)",men,outdoor,24.0,senior
1952,1138.0,Men's Long Jump,long-jump,jumps,George BROWN,USA,8.0,1952-05-10,"Fresno, CA (USA)",men,outdoor,21.0,senior
1955,1144.0,Men's Long Jump,long-jump,jumps,Roselyn RANGE,USA,8.03,1955-03-14,Ciudad de México (MEX),men,outdoor,22.0,senior
1957,1160.0,Men's Long Jump,long-jump,jumps,Greg BELL,USA,8.1,1957-06-14,"Austin, TX (USA)",men,outdoor,27.0,senior
1960,1184.0,Men's Long Jump,long-jump,jumps,Ralph BOSTON,USA,8.21,1960-08-12,"Walnut, CA (USA)",men,outdoor,21.0,senior
1961,1199.0,Men's Long Jump,long-jump,jumps,Ralph BOSTON,USA,8.28,1961-07-16,Moskva (URS),men,outdoor,22.0,senior
1962,1205.0,Men's Long Jump,long-jump,jumps,Igor TER-OVANESYAN,URS,8.31,1962-06-10,Yerevan (ARM),men,outdoor,24.0,senior
1963,1210.0,Men's Long Jump,long-jump,jumps,Phil SHINNICK,USA,8.33,1963-05-25,"Modesto, CA (USA)",men,outdoor,20.0,senior
1964,1212.0,Men's Long Jump,long-jump,jumps,Ralph BOSTON,USA,8.34,1964-09-12,"Los Angeles, CA (USA)",men,outdoor,25.0,senior
1965,1214.0,Men's Long Jump,long-jump,jumps,Ralph BOSTON,USA,8.35,1965-05-29,"Modesto, CA (USA)",men,outdoor,26.0,senior
1966,1188.0,Men's Long Jump indoor,long-jump,jumps,Igor TER-OVANESYAN,URS,8.23,1966-03-27,"Westfalenhalle, Dortmund (GER)",men,indoor,28.0,senior
1967,1214.0,Men's Long Jump,long-jump,jumps,Igor TER-OVANESYAN,URS,8.35,1967-10-19,Ciudad de México (MEX),men,outdoor,29.0,senior
1968,1335.0,Men's Long Jump,long-jump,jumps,Bob BEAMON,USA,8.9,1968-10-18,"Estadio Olímpico, Ciudad de México (MEX)",men,outdoor,22.0,senior
1969,1184.0,Men's Long Jump,long-jump,jumps,Waldemar STĘPIEŃ,POL,8.21,1969-07-12,Chorzów (POL),men,outdoor,23.0,senior
1970,1214.0,Men's Long Jump,long-jump,jumps,Josef SCHWARZ,FRG,8.35,1970-07-15,Stuttgart (GER),men,outdoor,29.0,senior
1971,1207.0,Men's Triple Jump,triple-jump,jumps,Pedro PÉREZ DUENAS,CUB,17.4,1971-08-05,Cali (COL),men,outdoor,19.0,senior
1972,1215.0,Men's Triple Jump,triple-jump,jumps,Viktor SANEYEV,URS,17.44,1972-10-17,Sukhumi (URS),men,outdoor,27.0,senior
1973,1190.0,Men's Long Jump,long-jump,jumps,James MCALISTER,USA,8.24,1973-05-05,"Westwood, CA (USA)",men,outdoor,22.0,senior
1974,1203.0,Men's Long Jump,long-jump,jumps,Arnie ROBINSON,USA,8.3,1974-05-25,"Modesto, CA (USA)",men,outdoor,26.0,senior
1975,1260.0,Men's Triple Jump,triple-jump,jumps,João Carlos DE OLIVEIRA,BRA,17.89,1975-10-15,Ciudad de México (MEX),men,outdoor,21.0,senior
1976,1217.0,Men's Long Jump,long-jump,jumps,Arnie ROBINSON,USA,8.35,1976-07-29,"Olympic Stadium, Montréal (CAN)",men,outdoor,28.0,senior
1977,1219.0,Women's High Jump,high-jump,jumps,Rosemarie ACKERMANN,GDR,2.0,1977-08-26,Berlin (GER),women,outdoor,25.0,senior
1978,1238.0,Women's Long Jump,long-jump,jumps,Vilma BARDAUSKIENÉ,URS,7.09,1978-08-29,"Stadion Evžena Rošického, Praha (TCH)",women,outdoor,25.0,senior
1979,1251.0,Men's Long Jump,long-jump,jumps,Larry MYRICKS,USA,8.52,1979-08-26,"Olympic Stadium, Montréal (CAN)",men,outdoor,23.0,senior
1980,1256.0,Men's Long Jump,long-jump,jumps,Lutz DOMBROWSKI,GDR,8.54,1980-07-28,"Lenin Stadium, Moskva (URS)",men,outdoor,21.0,senior
1981,1273.0,Men's Long Jump,long-jump,jumps,Carl LEWIS,USA,8.62,1981-06-20,"Sacramento, CA (USA)",men,outdoor,20.0,senior
1982,1304.0,Men's Long Jump,long-jump,jumps,Carl LEWIS,USA,8.76,1982-07-24,"Indianapolis, IN (USA)",men,outdoor,21.0,senior
1983,1313.0,Women's Long Jump,long-jump,jumps,Anișoara CUȘMIR,ROU,7.43,1983-06-04,Bucureşti (ROU),women,outdoor,21.0,senior
1984,1311.0,Men's Long Jump indoor,long-jump,jumps,Carl LEWIS,USA,8.79,1984-01-27,"New York, NY (USA)",men,indoor,23.0,senior
1985,1316.0,Women's Long Jump,long-jump,jumps,Heike DRECHSLER,GDR,7.44,1985-09-22,Berlin (GDR),women,outdoor,21.0,senior
1986,1318.0,Women's Long Jump,long-jump,jumps,Heike DRECHSLER,GDR,7.45,1986-07-03,Dresden (GER),women,outdoor,22.0,senior
1987,1326.0,Men's Long Jump,long-jump,jumps,Robert EMMIYAN,URS,8.86,1987-05-22,Tsakhadzor (ARM),men,outdoor,22.0,senior
1988,1333.0,Women's Long Jump,long-jump,jumps,Galina CHISTYAKOVA,URS,7.52,1988-06-11,Leningrad (URS),women,outdoor,26.0,senior
1989,1305.0,Men's High Jump,high-jump,jumps,Javier SOTOMAYOR,CUB,2.44,1989-07-29,San Juan (PUR),men,outdoor,22.0,senior
1990,1295.0,Women's Long Jump,long-jump,jumps,Galina CHISTYAKOVA,URS,7.35,1990-06-20,Bratislava (TCH),women,outdoor,28.0,senior
1991,1346.0,Men's Long Jump,long-jump,jumps,Mike POWELL,USA,8.95,1991-08-30,"National Stadium, Tokyo (JPN)",men,outdoor,28.0,senior
1992,1324.0,Women's Long Jump,long-jump,jumps,Heike DRECHSLER,GER,7.48,1992-07-08,"Stade Olympique de la Pontaise, Lausanne (SUI)",women,outdoor,28.0,senior
1993,1314.0,Men's High Jump,high-jump,jumps,Javier SOTOMAYOR,CUB,2.45,1993-07-27,Salamanca (ESP),men,outdoor,26.0,senior
1994,1327.0,Women's Long Jump,long-jump,jumps,Jackie JOYNER-KERSEE,USA,7.49,1994-05-22,"New York, NY (USA)",women,outdoor,32.0,senior
1995,1303.0,Men's Triple Jump,triple-jump,jumps,Jonathan EDWARDS,GBR,18.29,1995-08-07,"Ullevi Stadium, Göteborg (SWE)",men,outdoor,29.0,senior
1996,1283.0,Men's Triple Jump,triple-jump,jumps,Kenny HARRISON,USA,18.09,1996-07-27,"Olympic Stadium, Atlanta, GA (USA)",men,outdoor,31.0,senior
1997,1281.0,Men's Pole Vault,pole-vault,jumps,Sergey BUBKA,UKR,6.05,1997-09-13,Fukuoka (JPN),men,outdoor,34.0,senior
1998,1287.0,Women's Long Jump,long-jump,jumps,Marion JONES,USA,7.31,1998-08-12,Zürich (SUI),women,outdoor,23.0,senior
1999,1281.0,Men's Pole Vault,pole-vault,jumps,Maxim TARASOV,RUS,6.05,1999-06-16,Athina (GRE),men,outdoor,29.0,senior
2000,1280.0,Men's Long Jump,long-jump,jumps,Iván PEDROSO,CUB,8.65,2000-06-03,Jena (GER),men,outdoor,28.0,senior
2001,1281.0,Men's Pole Vault,pole-vault,jumps,Dmitri MARKOV,AUS,6.05,2001-08-09,"Commonwealth Stadium, Edmonton (CAN)",men,outdoor,26.0,senior
2002,1311.0,Women's Long Jump,long-jump,jumps,Tatyana KOTOVA,RUS,7.42,2002-06-23,"Parc des Sports, Annecy (FRA)",women,outdoor,26.0,senior
2003,1279.0,Women's High Jump,high-jump,jumps,Hestrie CLOETE,RSA,2.06,2003-08-31,"Stade de France, Paris-St-Denis (FRA)",women,outdoor,25.0,senior
2004,1291.0,Women's Long Jump,long-jump,jumps,Tatyana LEBEDEVA,RUS,7.33,2004-07-31,Tula (RUS),women,outdoor,28.0,senior
2005,1274.0,Women's Pole Vault,pole-vault,jumps,Yelena ISINBAYEVA,RUS,5.01,2005-08-12,"Olympiastadion, Helsinki (FIN)",women,outdoor,23.0,senior
2006,1299.0,Women's High Jump indoor,high-jump,jumps,Kajsa BERGQVIST,SWE,2.08,2006-02-04,Arnstadt (GER),women,indoor,30.0,senior
2007,1289.0,Women's High Jump,high-jump,jumps,Blanka VLAŠIĆ,CRO,2.07,2007-08-07,Stockholm (SWE),women,outdoor,24.0,senior
