event_type,nat,quality_score,valid_half_decades,active_years_total,total_performance_count,best_half_decade_score,max_results_score,total_half_decades,coverage_score,quality_percentile,coverage_percentile,country_strength_score,top10_rank
jumps,USA,1216.44,17,68,15959,1285.12,1346.0,17,1.0,0.9752,1.0,0.9802,1
jumps,CUB,1215.1226,11,51,2741,1259.36,1314.0,17,0.6471,0.9669,0.9132,0.9562,2
jumps,FRA,1209.8139,12,54,3831,1261.72,1311.0,17,0.7059,0.9339,0.9587,0.9388,3
jumps,SWE,1214.246,10,43,2396,1303.2,1330.0,17,0.5882,0.9587,0.8471,0.9364,4
jumps,RUS,1232.645,8,35,9011,1260.8,1311.0,17,0.4706,0.9835,0.7314,0.9331,5
jumps,UKR,1236.961,7,32,2999,1290.0667,1308.0,17,0.4118,1.0,0.6281,0.9256,6
jumps,GER,1210.803,10,37,6164,1272.3,1324.0,17,0.5882,0.9421,0.8471,0.9231,7
jumps,RSA,1195.6957,10,42,779,1233.44,1280.0,17,0.5882,0.9174,0.8471,0.9033,8
jumps,ITA,1193.267,11,48,1958,1213.08,1260.0,17,0.6471,0.8926,0.9132,0.8967,9
jumps,AUS,1189.8518,12,50,1593,1244.52,1283.0,17,0.7059,0.876,0.9587,0.8926,10
middle-long,KEN,1221.3779,13,58,22186,1275.24,1301.0,14,0.9286,1.0,0.9652,0.993,1
middle-long,USA,1204.2842,14,62,18204,1264.7,1298.0,14,1.0,0.9478,0.9913,0.9565,2
middle-long,GBR,1196.9138,13,57,6435,1252.4,1293.0,14,0.9286,0.9391,0.9652,0.9443,3
middle-long,ETH,1212.3736,11,50,7628,1274.7,1306.0,14,0.7857,0.9739,0.813,0.9417,4
middle-long,MAR,1220.5067,9,44,3640,1263.28,1302.0,14,0.6429,0.9913,0.6957,0.9322,5
middle-long,ESP,1190.6194,11,51,3692,1237.95,1300.0,14,0.7857,0.9217,0.813,0.9,6
middle-long,FRA,1184.3283,12,58,3133,1219.36,1259.0,14,0.8571,0.8957,0.9087,0.8983,7
middle-long,GER,1190.7633,9,36,2663,1219.25,1256.0,14,0.6429,0.9304,0.6957,0.8835,8
middle-long,RUS,1207.661,7,32,5126,1229.0,1258.0,14,0.5,0.9565,0.5348,0.8722,9
middle-long,ROU,1183.9588,11,52,1861,1221.44,1255.0,14,0.7857,0.8783,0.813,0.8652,10
sprints,USA,1231.3754,14,61,34809,1282.95,1331.0,16,0.875,1.0,0.9964,0.9993,1
sprints,JAM,1209.2711,14,58,9566,1285.04,1356.0,16,0.875,0.9928,0.9964,0.9935,2
sprints,GBR,1187.4062,13,56,5335,1225.76,1266.0,16,0.8125,0.9493,0.9783,0.9551,3
sprints,NGR,1199.0383,10,44,3132,1223.08,1277.0,16,0.625,0.9783,0.8442,0.9514,4
sprints,BAH,1194.9078,9,42,2132,1242.56,1288.0,16,0.5625,0.9638,0.808,0.9326,5
sprints,TTO,1183.2061,13,51,1796,1233.52,1269.0,16,0.8125,0.9203,0.9783,0.9319,6
sprints,CAN,1184.627,11,50,1891,1227.96,1284.0,16,0.6875,0.9348,0.8986,0.9275,7
sprints,RUS,1198.0054,8,34,3444,1245.7333,1265.0,16,0.5,0.971,0.7536,0.9275,8
sprints,FRA,1179.8467,12,54,2226,1216.76,1277.0,16,0.75,0.8986,0.9493,0.9087,9
sprints,CUB,1177.1285,12,52,1011,1197.48,1279.0,16,0.75,0.8841,0.9493,0.8971,10
