year,event_type,gender,max_results_score,all_time_rank,event,category,event_rank,mark,competitor,nat,pos,date,venue,age,year_of_birth,event_name,environment,age_category
1955,middle-long,men,1152.0,239010.0,Men's 800m,Outdoor Senior - Men,5954,1:45.94,Roger MOËNS,BEL,1,1955-08-03 00:00:00,Oslo (NOR),25.0,1930.0,800-metres,outdoor,senior
1957,middle-long,men,1149.0,257332.0,Men's 800m,Outdoor Senior - Men,6565,1:46.04,Tom COURTNEY,USA,1,1957-08-09 00:00:00,Oslo (NOR),24.0,1933.0,800-metres,outdoor,senior
1958,middle-long,men,1161.0,185280.0,Men's 1500m,Outdoor Senior - Men,4439,3:36.24,Herb ELLIOTT,AUS,1,1958-08-28 00:00:00,Göteborg (SWE),20.0,1938.0,1500-metres,outdoor,senior
1959,middle-long,men,1116.0,,Men's 1000m,Outdoor Senior - Men,467,2:18.04,Dan WAERN,SWE,1,1959-08-21 00:00:00,Karlstad (SWE),26.0,1933.0,1000-metres,outdoor,senior
1960,middle-long,men,1166.0,161101.0,Men's 1500m,Outdoor Senior - Men,3752,3:35.84,Herb ELLIOTT,AUS,1,1960-09-06 00:00:00,"Stadio Olimpico, Roma (ITA)",22.0,1938.0,1500-metres,outdoor,senior
1962,middle-long,men,1195.0,59156.0,Men's 800m,Outdoor Senior - Men,1113,1:44.54,Peter SNELL,NZL,,1962-02-03 00:00:00,Christchurch (NZL),24.0,1938.0,800-metres,outdoor,senior
1962,middle-long,women,1141.0,303958.0,Women's 800m,Outdoor Senior - Women,8671,2:1.44,Dixie WILLIS,AUS,,1962-03-03 00:00:00,Perth (AUS),21.0,1941.0,800-metres,outdoor,senior
1963,middle-long,men,1148.0,262829.0,Men's Mile indoor,Indoor Senior - Men,973,3:58.84,Jim BEATTY,USA,1,1963-02-15 00:00:00,"New York, NY (USA)",29.0,1934.0,one-mile,indoor,senior
1964,middle-long,men,1177.0,114975.0,Men's Mile indoor,Indoor Senior - Men,377,3:56.64,Thomas O'HARA,USA,1,1964-03-06 00:00:00,"Chicago, IL (USA)",22.0,1942.0,one-mile,indoor,senior
1964,middle-long,women,1198.0,51746.0,Women's 800m,Outdoor Senior - Women,848,1:58.24,Geum-Dan SHIN,PRK,1,1964-09-05 00:00:00,Pyongyang (PRK),26.0,1938.0,800-metres,outdoor,senior
