event_type,half_decade_start,half_decade_label,men_half_decade_avg_top10_score,women_half_decade_avg_top10_score,men_active_years,women_active_years,men_mean_records_used_per_year,women_mean_records_used_per_year,gender_gap_men_minus_women,gender_gap_abs,higher_gender,has_both_genders
jumps,1960,1960s,1161.3166666666668,1174.0,5.0,1.0,6.2,1.0,-12.683333333333167,12.683333333333167,women,True
jumps,1965,1965s,1178.7666666666667,1141.2666666666667,5.0,3.0,5.4,2.3333333333333335,37.5,37.5,men,True
jumps,1970,1970s,1181.1200000000001,1136.8600000000001,5.0,5.0,10.0,4.8,44.25999999999999,44.25999999999999,men,True
jumps,1975,1975s,1201.72,1179.26,5.0,5.0,10.0,8.2,22.460000000000036,22.460000000000036,men,True
jumps,1980,1980s,1249.1799999999998,1235.52,5.0,5.0,10.0,10.0,13.659999999999854,13.659999999999854,men,True
jumps,1985,1985s,1272.24,1288.06,5.0,5.0,10.0,10.0,-15.819999999999936,15.819999999999936,women,True
jumps,1990,1990s,1285.1799999999998,1268.6799999999998,5.0,5.0,10.0,10.0,16.5,16.5,men,True
jumps,1995,1995s,1270.8799999999999,1247.6399999999999,5.0,5.0,10.0,10.0,23.24000000000001,23.24000000000001,men,True
jumps,2000,2000s,1254.1399999999999,1248.58,5.0,5.0,10.0,10.0,5.559999999999945,5.559999999999945,men,True
jumps,2005,2005s,1261.98,1265.22,5.0,5.0,10.0,10.0,-3.240000000000009,3.240000000000009,women,True
jumps,2010,2010s,1263.8200000000002,1247.6,5.0,5.0,10.0,10.0,16.220000000000255,16.220000000000255,men,True
jumps,2015,2015s,1273.56,1254.24,5.0,5.0,10.0,10.0,19.319999999999936,19.319999999999936,men,True
jumps,2020,2020s,1291.425,1255.425,4.0,4.0,10.0,10.0,36.0,36.0,men,True
middle-long,1960,1960s,1152.025,1155.75,4.0,2.0,4.75,1.5,-3.724999999999909,3.724999999999909,women,True
middle-long,1965,1965s,1160.9,1144.7222222222224,5.0,3.0,10.0,2.0,16.177777777777692,16.177777777777692,men,True
middle-long,1970,1970s,1182.58,1162.85,5.0,4.0,10.0,8.0,19.730000000000018,19.730000000000018,men,True
middle-long,1975,1975s,1208.46,1205.3200000000002,5.0,5.0,10.0,10.0,3.1399999999998727,3.1399999999998727,men,True
middle-long,1980,1980s,1229.34,1234.9,5.0,5.0,10.0,10.0,-5.560000000000173,5.560000000000173,women,True
middle-long,1985,1985s,1234.8200000000002,1229.1599999999999,5.0,5.0,10.0,10.0,5.660000000000309,5.660000000000309,men,True
middle-long,1990,1990s,1234.8600000000001,1230.34,5.0,5.0,10.0,10.0,4.520000000000209,4.520000000000209,men,True
middle-long,1995,1995s,1277.3200000000002,1237.08,5.0,5.0,10.0,10.0,40.24000000000024,40.24000000000024,men,True
middle-long,2000,2000s,1271.58,1232.3,5.0,5.0,10.0,10.0,39.27999999999997,39.27999999999997,men,True
middle-long,2005,2005s,1262.48,1242.28,5.0,5.0,10.0,10.0,20.200000000000045,20.200000000000045,men,True
middle-long,2010,2010s,1269.52,1232.3600000000001,5.0,5.0,10.0,10.0,37.159999999999854,37.159999999999854,men,True
middle-long,2015,2015s,1261.8,1254.1799999999998,5.0,5.0,10.0,10.0,7.620000000000118,7.620000000000118,men,True
middle-long,2020,2020s,1278.9,1265.825,4.0,4.0,10.0,10.0,13.075000000000045,13.075000000000045,men,True
sprints,1955,1955s,1132.0,1091.0,2.0,1.0,1.0,1.0,41.0,41.0,men,True
sprints,1960,1960s,1164.1666666666665,1101.5,2.0,1.0,3.5,2.0,62.666666666666515,62.666666666666515,men,True
sprints,1965,1965s,1179.675,1144.0166666666667,4.0,4.0,8.5,4.25,35.6583333333333,35.6583333333333,men,True
sprints,1970,1970s,1176.5,1164.2400000000002,5.0,5.0,10.0,8.4,12.259999999999764,12.259999999999764,men,True
sprints,1975,1975s,1203.24,1212.44,5.0,5.0,10.0,10.0,-9.200000000000045,9.200000000000045,women,True
sprints,1980,1980s,1213.54,1248.48,5.0,5.0,10.0,10.0,-34.940000000000055,34.940000000000055,women,True
sprints,1985,1985s,1232.4,1251.3799999999999,5.0,5.0,10.0,10.0,-18.97999999999979,18.97999999999979,women,True
sprints,1990,1990s,1245.3799999999999,1250.0,5.0,5.0,10.0,10.0,-4.620000000000118,4.620000000000118,women,True
sprints,1995,1995s,1265.3,1252.08,5.0,5.0,10.0,10.0,13.220000000000027,13.220000000000027,men,True
sprints,2000,2000s,1243.42,1230.52,5.0,5.0,10.0,10.0,12.900000000000091,12.900000000000091,men,True
sprints,2005,2005s,1282.44,1241.42,5.0,5.0,10.0,10.0,41.01999999999998,41.01999999999998,men,True
sprints,2010,2010s,1280.1,1238.98,5.0,5.0,10.0,10.0,41.11999999999989,41.11999999999989,men,True
sprints,2015,2015s,1277.6799999999998,1251.6200000000001,5.0,5.0,10.0,10.0,26.059999999999718,26.059999999999718,men,True
sprints,2020,2020s,1274.1999999999998,1267.325,4.0,4.0,10.0,10.0,6.874999999999773,6.874999999999773,men,True
